price,bedroom,bathroom,land_area,building_area,location
575.0,2,2,40,50,"Rungkut, Surabaya"
875.0,3,2,50,63,"Sukolilo, Surabaya"
1300.0,3,1,90,90,"Sukolilo, Surabaya"
1970.0,4,3,128,172,"Lidah Kulon, Surabaya"
700.0,3,2,40,55,"Rungkut, Surabaya"
1950.0,4,4,82,120,"Sukolilo, Surabaya"
2000.0,4,2,91,100,"Pakuwon City, Surabaya"
1970.0,3,3,100,160,"Mulyorejo, Surabaya"
1900.0,3,3,91,120,"Kalisari, Surabaya"
454.0,1,1,27,28,"Wonorejo, Surabaya"
1350.0,3,2,75,130,"Sidoarjo, Sidoarjo"
1800.0,3,3,98,150,"Rungkut, Surabaya"
1800.0,3,2,183,150,"Gayungan, Surabaya"
455.0,2,1,102,60,"Sidoarjo, Sidoarjo"
800.0,2,1,96,90,"Wiyung, Surabaya"
609.0,4,2,52,115,"Tambaksari, Surabaya"
972.0,2,2,122,194,"Sidoarjo, Sidoarjo"
1670.0,2,1,155,175,"Tambaksari, Surabaya"
2000.0,3,3,200,180,"Sukomanunggal, Surabaya"
1800.0,4,3,180,150,"Wiyung, Surabaya"
1700.0,3,3,82,115,"Mulyosari, Surabaya"
575.0,1,1,60,45,"Surabaya Kota, Surabaya"
1700.0,4,3,200,200,"Kenjeran, Surabaya"
387.0,3,2,89,80,"Rungkut, Surabaya"
1840.0,3,2,90,84,"Gununganyar, Surabaya"
1890.0,3,2,180,160,"Rungkut, Surabaya"
500.0,2,1,84,40,"Benowo, Surabaya"
500.0,2,1,73,36,"Sidoarjo, Sidoarjo"
1900.0,3,3,120,200,"Kenjeran, Surabaya"
1950.0,4,3,105,150,"Citraland, Surabaya"
399.0,2,1,72,32,"Surabaya Kota, Surabaya"
880.0,3,2,162,210,"Karangpilang, Surabaya"
1100.0,4,2,120,220,"Sidoarjo, Sidoarjo"
1850.0,4,3,128,172,"Citraland, Surabaya"
720.0,3,2,121,136,"Sidoarjo, Sidoarjo"
575.0,2,2,40,50,"Gununganyar, Surabaya"
850.0,3,1,120,80,"Sidoarjo, Sidoarjo"
1500.0,4,2,120,160,"Kenjeran, Surabaya"
1100.0,3,2,132,140,"Rungkut, Surabaya"
758.0,2,1,60,36,"Medokan Ayu, Surabaya"
1950.0,3,3,135,180,"Wiyung, Surabaya"
1140.0,3,2,105,88,"Sidoarjo, Sidoarjo"
725.0,3,2,90,65,"Sidoarjo, Sidoarjo"
1600.0,4,3,112,175,"Wiyung, Surabaya"
1750.0,3,3,75,100,"Rungkut, Surabaya"
1500.0,3,3,160,260,"Sidoarjo, Sidoarjo"
878.0,2,2,50,57,"Rungkut, Surabaya"
450.0,2,1,35,70,"Surabaya Kota, Surabaya"
1250.0,3,3,70,79,"Sukolilo, Surabaya"
1490.0,3,1,98,98,"Kebonsari, Surabaya"
625.0,3,2,49,70,"Medokan Ayu, Surabaya"
744.0,2,1,44,60,"Surabaya Kota, Surabaya"
1290.0,2,2,119,100,"Surabaya Kota, Surabaya"
890.0,2,1,108,100,"Sidoarjo, Sidoarjo"
1350.0,3,2,84,130,"Citraland, Surabaya"
1000.0,3,2,72,80,"Citraland, Surabaya"
767.0,2,1,120,120,"Surabaya Kota, Surabaya"
520.0,2,1,185,120,"Rungkut, Surabaya"
390.0,2,1,72,36,"Citraland, Surabaya"
1450.0,4,3,113,210,"Kenjeran, Surabaya"
620.0,2,1,72,72,"Rungkut, Surabaya"
1700.0,3,3,81,120,"Wonorejo, Surabaya"
1600.0,3,3,81,120,"Wonorejo, Surabaya"
925.0,2,1,70,60,"Rungkut, Surabaya"
1800.0,4,2,183,150,"Gayungan, Surabaya"
1600.0,3,3,72,123,"Jemursari, Surabaya"
1600.0,3,2,180,160,"Rungkut, Surabaya"
1400.0,4,2,66,100,"Surabaya Kota, Surabaya"
1950.0,3,1,180,140,"Surabaya Kota, Surabaya"
600.0,2,1,72,38,"Sidoarjo, Sidoarjo"
1100.0,3,3,68,100,"Kenjeran, Surabaya"
900.0,4,2,87,175,"Wiyung, Surabaya"
585.0,2,1,78,36,"Sidoarjo, Sidoarjo"
1450.0,3,3,72,130,"Kenjeran, Surabaya"
1500.0,3,3,100,120,"Rungkut, Surabaya"
990.0,2,1,120,100,"Citraland, Surabaya"
1850.0,3,2,192,120,"Sidoarjo, Sidoarjo"
1970.0,3,3,100,159,"Mulyorejo, Surabaya"
1650.0,3,2,105,165,"Wiyung, Surabaya"
1950.0,3,3,88,147,"Darmo Permai, Surabaya"
775.0,3,2,52,85,"Rungkut, Surabaya"
975.0,2,1,98,70,"Sukolilo, Surabaya"
500.0,2,1,90,40,"Sidoarjo, Sidoarjo"
1830.0,3,3,90,130,"Gununganyar, Surabaya"
1090.0,3,2,90,72,"Mulyosari, Surabaya"
1800.0,3,3,90,147,"Kenjeran, Surabaya"
1100.0,3,3,70,100,"Kenjeran, Surabaya"
1900.0,3,2,200,200,"Tenggilis Mejoyo, Surabaya"
1750.0,3,2,75,120,"Rungkut, Surabaya"
1300.0,3,2,91,123,"Rungkut, Surabaya"
1430.0,3,2,67,110,"Manyar, Surabaya"
1010.0,3,2,90,70,"Sidoarjo, Sidoarjo"
385.0,2,1,72,50,"Sidoarjo, Surabaya"
1450.0,4,2,102,150,"Kenjeran, Surabaya"
1350.0,3,2,150,111,"Kebraon, Surabaya"
319.0,2,1,170,120,"Bulak, Surabaya"
1300.0,2,1,180,54,"Benowo, Surabaya"
940.0,3,3,72,85,"Sidoarjo, Sidoarjo"
1480.0,4,4,91,170,"Rungkut, Surabaya"
1900.0,3,3,87,100,"Tandes, Surabaya"
1350.0,3,3,70,90,"Pakuwon City, Surabaya"
1900.0,3,2,78,90,"Graha, Surabaya"
1600.0,3,3,112,150,"Kenjeran, Surabaya"
655.0,2,1,72,44,"Sidoarjo, Sidoarjo"
1530.0,3,2,126,91,"Sidoarjo, Sidoarjo"
715.0,2,1,50,30,"Gununganyar, Surabaya"
900.0,2,2,66,66,"Kutisari, Surabaya"
2000.0,2,2,154,150,"Ketintang, Surabaya"
1400.0,4,2,112,115,"Wiyung, Surabaya"
1350.0,2,2,72,70,"Tandes, Surabaya"
1500.0,4,3,135,180,"Sidoarjo, Sidoarjo"
925.0,4,2,80,100,"Tambaksari, Surabaya"
1250.0,2,1,80,65,"Menganti, Surabaya"
1300.0,3,2,189,160,"Waru, Surabaya"
790.0,4,2,90,160,"Pakal, Surabaya"
935.0,3,2,67,67,"Gununganyar, Surabaya"
1150.0,3,1,105,80,"Karangpilang, Surabaya"
850.0,2,1,71,66,"Jambangan, Surabaya"
250.0,2,1,79,40,"Gundih, Surabaya"
1200.0,3,2,90,90,"Wonorejo, Surabaya"
500.0,2,1,72,36,"Kebraon, Surabaya"
550.0,3,1,100,70,"Simomulyo, Surabaya"
1750.0,3,2,135,126,"Mulyosari, Surabaya"
699.0,2,1,90,50,"Medokan Ayu, Surabaya"
1200.0,4,3,156,200,"Raya A Yani, Surabaya"
900.0,4,1,132,132,"Kapasan, Surabaya"
1870.0,3,2,72,84,"Pakuwon City, Surabaya"
1300.0,2,1,60,63,"Rungkut, Surabaya"
990.0,2,1,105,105,"Sukolilo, Surabaya"
1450.0,3,2,62,80,"Kenjeran, Surabaya"
1500.0,3,2,144,120,"Surabaya Kota, Surabaya"
850.0,3,3,72,110,"Rungkut, Surabaya"
1200.0,2,2,70,70,"Tandes, Surabaya"
1100.0,4,2,120,115,"Sidoarjo, Sidoarjo"
1390.0,4,2,72,140,"Rungkut, Surabaya"
1250.0,4,2,150,120,"Sidoarjo, Sidoarjo"
1700.0,4,3,100,110,"Rungkut, Surabaya"
1600.0,3,3,90,70,"Rungkut, Surabaya"
1700.0,3,2,154,81,"Sidoarjo, Sidoarjo"
1500.0,2,2,150,72,"Sidoarjo, Sidoarjo"
870.0,3,1,100,75,"Rungkut, Surabaya"
1800.0,3,3,96,100,"Sidoarjo, Sidoarjo"
970.0,3,1,144,120,"Sidoarjo, Sidoarjo"
254.0,3,1,120,90,"Tandes, Surabaya"
2000.0,4,3,200,160,"Rungkut, Surabaya"
1700.0,4,4,84,130,"Surabaya Kota, Surabaya"
385.0,2,1,24,45,"Kenjeran, Surabaya"
1250.0,3,2,72,100,"Sidoarjo, Sidoarjo"
599.0,2,1,100,50,"Rungkut, Surabaya"
1750.0,4,4,134,224,"Sidoarjo, Sidoarjo"
800.0,3,2,135,150,"Sidoarjo, Sidoarjo"
1890.0,3,2,144,190,"Rungkut, Surabaya"
950.0,3,2,50,101,"Kenjeran, Surabaya"
900.0,2,1,84,50,"Sidoarjo, Sidoarjo"
1100.0,2,1,66,96,"Sidoarjo, Sidoarjo"
1700.0,4,2,66,132,"Wisata Bukit Mas, Surabaya"
990.0,2,1,120,90,"Citraland, Surabaya"
1700.0,3,3,80,112,"Rungkut, Surabaya"
800.0,2,1,105,105,"Rungkut, Surabaya"
500.0,2,1,100,75,"Tambaksari, Surabaya"
1670.0,3,2,72,84,"Mulyorejo, Surabaya"
1900.0,4,4,87,100,"Darmo Permai, Surabaya"
999.0,3,2,50,63,"Sukolilo, Surabaya"
1750.0,4,3,50,115,"Wiyung, Surabaya"
700.0,2,1,90,90,"Sidoarjo, Sidoarjo"
650.0,2,1,85,85,"Sidoarjo, Sidoarjo"
650.0,3,2,100,65,"Surabaya Kota, Surabaya"
1030.0,2,1,96,90,"Rungkut, Surabaya"
500.0,3,2,125,120,"Petemon, Surabaya"
625.0,2,1,100,40,"Rungkut, Surabaya"
2000.0,4,3,135,120,"Wiyung, Surabaya"
1950.0,4,4,82,120,"Manyar, Surabaya"
420.0,2,2,112,100,"Karangpilang, Surabaya"
900.0,2,2,154,66,"Petemon, Surabaya"
950.0,2,1,70,60,"Rungkut, Surabaya"
1680.0,4,3,100,110,"Rungkut, Surabaya"
700.0,3,2,50,100,"Kenjeran, Surabaya"
1100.0,3,1,108,100,"Wiyung, Surabaya"
1350.0,3,2,100,165,"Kenjeran, Surabaya"
720.0,3,2,91,72,"Benowo, Surabaya"
1800.0,4,4,200,200,"Gayungan, Surabaya"
1450.0,3,2,55,78,"Citraland, Surabaya"
1200.0,2,1,108,118,"Rungkut, Surabaya"
1300.0,3,2,65,120,"Rungkut, Surabaya"
1700.0,3,2,100,119,"Rungkut, Surabaya"
1580.0,3,3,90,120,"Rungkut, Surabaya"
2000.0,3,2,160,96,"Rungkut, Surabaya"
890.0,2,2,61,85,"Rungkut, Surabaya"
990.0,3,2,50,80,"Rungkut, Surabaya"
1130.0,2,2,57,80,"Gununganyar, Surabaya"
1250.0,3,3,55,82,"Rungkut, Surabaya"
1850.0,3,3,84,115,"Rungkut, Surabaya"
1750.0,3,3,75,120,"Rungkut, Surabaya"
520.0,2,1,168,170,"Kenjeran, Surabaya"
590.0,2,1,75,50,"Rungkut, Surabaya"
950.0,2,1,96,96,"Sidoarjo, Sidoarjo"
1750.0,3,3,75,115,"Tenggilis Mejoyo, Surabaya"
1990.0,4,3,96,160,"Mulyorejo, Surabaya"
380.0,2,1,72,36,"Menganti, Surabaya"
790.0,3,2,85,65,"Kenjeran, Surabaya"
587.0,3,2,60,64,"Rungkut, Surabaya"
999.0,3,2,50,82,"Rungkut, Surabaya"
585.0,3,3,60,63,"Gununganyar, Surabaya"
675.0,3,2,60,45,"Rungkut, Surabaya"
887.0,3,2,84,90,"Rungkut, Surabaya"
600.0,2,1,90,36,"Gununganyar, Surabaya"
435.0,2,1,40,30,"Rungkut, Surabaya"
498.0,2,1,50,50,"Gununganyar, Surabaya"
994.0,3,2,60,60,"Lakarsantri, Surabaya"
298.0,2,2,24,24,"Tandes, Surabaya"
389.0,2,1,25,25,"Rungkut, Surabaya"
600.0,2,1,50,36,"Rungkut, Surabaya"
1100.0,2,2,84,84,"Ketintang, Surabaya"
750.0,3,2,72,45,"Rungkut, Surabaya"
550.0,3,1,95,135,"Simokerto, Surabaya"
1150.0,3,2,65,65,"Kenjeran, Surabaya"
525.0,2,2,40,80,"Rungkut, Surabaya"
1600.0,4,3,72,129,"Wonocolo, Surabaya"
1350.0,3,2,50,83,"Ketintang, Surabaya"
999.0,3,2,50,84,"Rungkut, Surabaya"
650.0,2,2,40,50,"Gununganyar, Surabaya"
650.0,3,2,60,72,"Rungkut, Surabaya"
780.0,2,2,129,115,"Pakal, Surabaya"
1700.0,3,3,100,128,"Wonocolo, Surabaya"
700.0,2,1,105,60,"Benowo, Surabaya"
900.0,2,2,70,54,"Rungkut, Surabaya"
1300.0,3,1,105,100,"Citraland, Surabaya"
1700.0,3,2,200,200,"Rungkut, Surabaya"
1600.0,2,2,119,140,"Sukolilo, Surabaya"
1350.0,3,2,150,180,"Sidoarjo, Sidoarjo"
1400.0,4,4,160,200,"Sidoarjo, Sidoarjo"
