"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 1,5 Miliar","Rumah Di Perumnas Driyorejo Gresik Dekat Pintu Tol Sumo Cocok Buat Hunian Dan Usaha","Driyorejo, Gresik","11","6","153 m²","198 m²"
"Rp 2,25 Miliar","Rumah Disidayu Gresik Deket Alun Alun","Sidayu, Gresik","4","5","592 m²","576 m²"
"Rp 3,3 Miliar","Rumah Cantik Berkonsep Kantor Di Bringkang Menganti","Menganti, Gresik","1","3","441 m²","120 m²"
"Rp 325 Juta","Rumah Di Menganti Hulaan Komersial Area Dan Padat Penduduk","Menganti, Gresik","2","2","90 m²","60 m²"
"Rp 900 Juta","Termurah Grand Sunrise - Raya Bringkang - Menganti Gresik. Private Cluster, Aman, Nyaman, Modern.lt 6x12, Lb 78, 2 Lantai, Ktidur 2, Kmandi 2, Row Jalan 3 Mobil.strategis Dekat Rs Eka Husada, Dekat Tol Klbm Dan Tol Sumo. Rumah SHM di Perum Grand Sunrise
R","Menganti, Gresik","2","2","72 m²","78 m²"
"Rp 1,15 Miliar","Dijual Rumah Baru Gress di Puri Safira – Siap Huni!","Menganti, Gresik","3","2","144 m²","144 m²"
"Rp 3,3 Miliar","Dijual Rumah Kantor Asri di Bringkang – Menganti, Gresik","Menganti, Gresik","1","3","441 m²","120 m²"
"Rp 355 Juta","Rumah 1 Lantai Lokasi Strategis Driyorejo Fasilitas Club House","Driyorejo, Gresik","2","1","60 m²","34 m²"
"Rp 440 Juta","Rumah 1 Lantai Ready Unit Lokasi Strategis Driyorejo","Driyorejo, Gresik","2","1","60 m²","40 m²"
"Rp 650 Juta","Rumah baru murah 2lt Perum Kota Baru Driyorejo Gresik","Driyorejo, Gresik","2","2","76 m²","100 m²"
"Rp 350 Juta","Rumah murah Kota Baru Driyorejo Gresik","Driyorejo, Gresik","2","1","56 m²","40 m²"
"Rp 1,5 Miliar","Rumah 2 Lantai Cerme Gresik Bagus SHM - Sertifikat Hak Milik","Cerme, Gresik","4","2","100 m²","100 m²"
"Rp 300 Juta","Perumahan Murah Di Cerme Gresik","Cerme, Gresik","2","1","72 m²","36 m²"
"Rp 400 Juta","Rumah Shm - Kebomas Gresik","Gresik, Gresik","2","1","60 m²","36 m²"
"Rp 400 Juta","Rumah Baru di Gresik","Gresik Kota, Gresik","2","1","70 m²","70 m²"
"Rp 200 Juta","Rumah Dekat Icon Mall Gresik","Cerme, Gresik","2","1","70 m²","36 m²"
"Rp 300 Juta","Rumah Shm Bagus Dekat Pintu Tol Legundi","Menganti, Gresik","2","1","60 m²","30 m²"
"Rp 300 Juta","Rumah SHM - Sertifikat Hak Milik di jalan raya cerme gresik , Cerme","Cerme, Gresik","2","1","60 m²","30 m²"
"Rp 500 Juta","Rumah Bagus Shm Dekat Icon Mall Gresik Kota","Gresik Kota, Gresik","2","1","60 m²","50 m²"
"Rp 350 Juta","rumah minimalis modern di gresik","Cerme, Gresik","2","1","78 m²","30 m²"
"Rp 300 Juta","Rumah Murah Di Pusat Kota Gresik","Gresik Kota, Gresik","2","1","70 m²","30 m²"
"Rp 500 Juta","Rumah Di Jalan Raya Driyorejo Gresik Shm Baru","Gresik Kota, Gresik","2","1","80 m²","36 m²"
"Rp 299 Juta","Rumah Murah Gresik","Cerme, Gresik","2","1","65 m²","30 m²"
"Rp 325 Juta","Dijual Rumah Baru Lokasi Kedamean Gresik","Kedamean, Gresik","2","1","60 m²","36 m²"
"Rp 2,5 Miliar","Rumah Di Citraland Driyorejo Cbd Gresik Dekat Pintu Tol Sumo & Kota Baru Driyorejo","Driyorejo, Gresik","3","2","112 m²","102 m²"
"Rp 360 Juta","Butuh Jual Cepat Rumah Goldenberry Gresik 1 Lantai","Menganti, Gresik","2","1","70 m²","70 m²"
"Rp 1,2 Miliar","Rumah Baru 2 Lantai Belum Pernah Ditempati Di Greend Lan Resident Menganti Gresik","Menganti, Gresik","4","3","94 m²","71 m²"
"Rp 975 Juta","MAU PINDAH Rumah Minimalis Puri Safira Regency Menganti Gresik 10x16 SHM Lokasi Depan 1M an Harga Anjlok","Menganti, Gresik","3","3","160 m²","96 m²"
"Rp 1,5 Miliar","rumah greenland residence menganti gresik","Gresik Kota, Gresik","4","3","84 m²","95 m²"
"Rp 2,9 Miliar","Raya gadukan duduk sampeyan","Duduk Sampeyan, Gresik","4","2","1134 m²","360 m²"
"Rp 565 Juta","Swp Residence Kepatihan Menganti Shm Hadap Selatan","Menganti, Gresik","2","1","154 m²","45 m²"
"Rp 2,15 Miliar","Rumah hitung Tanah  Gresik dekat alun alun dan rumaj sakit muhammadiyah","Gresik Kota, Gresik","5","2","568 m²","300 m²"
"Rp 300 Juta","Rumah Terjangkau Bisa Kpr Dp 0% Dekat Surabaya Menganti Gresik","Menganti, Gresik","2","1","72 m²","38 m²"
"Rp 500 Juta","Dijual Rumah Lokasi Domas Menganti Gresik","Gresik, Gresik","2","1","71 m²","36 m²"
"Rp 690 Juta","Murah Puri Safira Regency Apik","Menganti, Gresik","2","1","85 m²","40 m²"
"Rp 450 Juta","rumah bagus dan murah di perum palem pertiwi blok w no. 12 A, ds. palem watu kec. menganti kab. gresik","Menganti, Gresik","2","1","72 m²","98 m²"
"Rp 450 Juta","RUMAH BAGUS DAN MURAH DI PERUM MENGANTI PERMAI BLOK B2 NO. 19 A, DS. MENGANTI KEC. MENGANTI KAB. GRESIK","Menganti, Gresik","2","1","120 m²","60 m²"
"Rp 600 Juta","Rumah Minimalis Siap Huni di Perum Ladiva Menganti","Menganti, Gresik","2","1","98 m²","60 m²"
"Rp 1,5 Miliar","Rumah 1 Lantai Di Raya Driyorejo Gresik","Driyorejo, Gresik","6","2","238 m²","45 m²"
"Rp 735 Juta","Dijual Rumah Citraland City Kedamean Gresik","Kedamean, Gresik","2","1","60 m²","40 m²"
"Rp 475 Juta","Dijual Rumah Minimalis Hitung Tanah Driyorejo Gresik","Driyorejo, Gresik","2","1","120 m²","90 m²"
"Rp 700 Juta","DIJUAL RUMAH PURI SAFIRA REGENCY CLUSTER GRAND SHANAYA BHISMA","Menganti, Gresik","3","2","60 m²","60 m²"
"Rp 550 Juta","Jual Cepat New Minimalis","Driyorejo, Gresik","2","1","93 m²","70 m²"
"Rp 600 Juta","Jual Rugi New Minimalis Di Swp Kepatihan","Driyorejo, Gresik","2","1","96 m²","45 m²"
"Rp 1 Miliar","Rumah 2 Lantai Baru Gress di Grand Sunrise, Gresik","Driyorejo, Gresik","2","2","72 m²","78 m²"
"Rp 850 Juta","Puri safira SHM 2 lantai hadap utara","Menganti, Gresik","2","2","60 m²","57 m²"
"Rp 670 Juta","Rumah Murah LuasanTanah Besar","Driyorejo, Gresik","3","1","153 m²","30 m²"
"Rp 3,3 Miliar","Dijual Rumah yang Asri Modern Cocok Untuk Perkantoran","Menganti, Gresik","1","3","441 m²","120 m²"
"Rp 1,5 Miliar","Dijual Rumah Dua Lantai Perumnas Kota Baru Driyorejo","Gresik, Gresik","11","6","153 m²","153 m²"
"Rp 325 Juta","Rumah The Menganti Gresik","Menganti, Gresik","2","2","90 m²","60 m²"
"Rp 1,25 Miliar","Rumah Strategis Dekat Pusat Kota dan Jalan Raya, Lokasi di Jalan RA Kartini Gresik Kota","Gresik Kota, Gresik","2","1","119 m²","68 m²"
"Rp 550 Juta","Rumah 1 Lantai Daerah Prambon Asri Gresik","Menganti, Gresik","2","1","96 m²","96 m²"
"Rp 500 Juta","Dijual Rmh Siap Huni La Diva Green Hill Hulaan-Menganti Gresik","Menganti, Gresik","2","1","84 m²","36 m²"
"Rp 300 Juta","Dijual The Menganti Hulaan- Menganti Gresik","Menganti, Gresik","3","2","90 m²","60 m²"
"Rp 425 Juta","Muraaahh Jual Cepat Golden.berry Regency Menganti- Gresik","Menganti, Gresik","2","1","84 m²","65 m²"
"Rp 555 Juta","Rumah Minimalis 1 Lantai # Kondisi Bagus Terawat","Menganti, Gresik","2","1","72 m²","50 m²"
"Rp 350 Juta","Rumah Dijual di Perum Green River Menganti Gresik","Menganti, Gresik","2","1","66 m²","44 m²"
"Rp 850 Juta","Dijual Rumah Di Perum Alam Bukit Raya Abr Gresik Furnish","Gresik Kota, Gresik","3","1","104 m²","115 m²"
"Rp 2,25 Miliar","Dijual Rumah Murah Lokasi Strategis Dekat Alun2.sidayu Gresik","Gresik, Gresik","4","5","592 m²","576 m²"
"Rp 6,5 Miliar","Dijual Cepat Rumah Kos 3 Lt Strategis Di Jl Ra Kartini Gresik","Kebomas, Gresik","42","42","545 m²","1200 m²"
"Rp 393 Juta","Rumah Cantik Dp 0 Angsuran 1 Jutaan Lingkungan 0 Jalan Raya Gresik Rumah Bagus SHM di Cerme","Cerme, Gresik","2","1","60 m²","30 m²"
"Rp 4,14 Miliar","Lelang Aset Gresik Di Driyorejo Di Raya Cangkir","Driyorejo, Gresik","2","1","1339 m²","1250 m²"
"Rp 1,8 Miliar","0416.49 Aset Lelang Gresik Di Driyorejo Di Jl Merapi","Driyorejo, Gresik","2","1","772 m²","772 m²"
"Rp 850 Juta","Rumah 2 Lantai Di Menganti Dekat Benowo.","Menganti, Gresik","2","2","90 m²","67 m²"
"Rp 1,5 Miliar","Di Jual Rah 2 Lantai Kota Baru Driyorejo","Gresik, Gresik","11","6","153 m²","198 m²"
"Rp 2,25 Miliar","Dijual Rumah Dengan Lokasih Strategis Dekat Alun2 Sedayu Gresik","Gresik Kota, Gresik","4","5","592 m²","576 m²"
