"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 820 Juta","DIJUAL RUMAH MURAH","Sedati, Sidoarjo","2","2","108 m²","86 m²"
"Rp 720 Juta","Rumah Strategis Nyaman Di Kota Siidoarjo","Sidoarjo, Sidoarjo","3","2","121 m²","136 m²"
"Rp 850 Juta","Dijual Rumah Siap Huni Full Furnished Di Kota Sidoarjo Grand Surya","Sidoarjo, Sidoarjo","3","1","120 m²","80 m²"
"Rp 700 Juta","RUMAH HITUNG TANAH DI JALAN JAMBU, PONDOK CHANDRA","Sidoarjo, Sidoarjo","2","2","102 m²","60 m²"
"Rp 900 Juta","VG194 DIJUAL RUMAH MINIMMALIS UNFURNISHED SHM DI SEDATI JUANDA","Sedati, Sidoarjo","2","1","90 m²","105 m²"
"Rp 510 Juta","Rumah 1 Lantai, Shm, Baru, Selangkah Ke Jalan Raya Merr","Waru, Sidoarjo","2","1","72 m²","30 m²"
"Rp 3,85 Miliar","Perumahan Deltasari Cluster Delta Harmoni Waru Sidoarjo","Waru, Sidoarjo","4","3","373 m²","260 m²"
"Rp 1,8 Miliar","Dijual Rumah 2 Lantai Lokasi Kahuripan Sidoarjo Kota","Sidoarjo, Sidoarjo","3","3","96 m²","100 m²"
"Rp 1,5 Miliar","Lihat Pasti Suka. Rumah Baru Selangkah Dari Lippo Plasa Sidoarjo","Sidoarjo, Sidoarjo","6","4","160 m²","320 m²"
"Rp 1,5 Miliar","Rumah Murah Shm Kahuripan Nirwana Selangkah Exit Tol Sidoarjo","Sidoarjo, Sidoarjo","2","1","74 m²","45 m²"
"Rp 600 Juta","KL01 D Gardenia City Rumah Baru Minimalis Murah Sidoarjo Kota","Sidoarjo, Sidoarjo","2","1","72 m²","38 m²"
"Rp 695 Juta","Rumah Hitung Tanah Taman Pondok Jati - Geluran Taman - Sidoarjo .","Taman, Sidoarjo","3","1","176 m²","90 m²"
"Rp 750 Juta","Rmh.new Siap Huni Perum. Puri Surya Jaya Gedangn Sdrjo","Gedangan, Sidoarjo","2","2","90 m²","65 m²"
"Rp 575 Juta","Rumah Permata Sukodono Depan Taman Kondisi Baru Gres Siap Huni","Sukodono, Sidoarjo","2","1","72 m²","40 m²"
"Rp 1,45 Miliar","Termurah Cluster Jeruk Pondok Tjandra Baru Gress .Pondok Tjandra .","Pondok Tjandra, Sidoarjo","3","3","100 m²","130 m²"
"Rp 750 Juta","Ada 2 Unit Rmh.mewah Row 3.mbl Perum Puri Surya Jaya Cluster Valencia Gedangan Sidoarjo","Gedangan, Sidoarjo","2","2","90 m²","90 m²"
"Rp 585 Juta","Dp0% Angsuran 2 Jtan.free Smua Biaya Rmh New Bohar Dekat Wage Aloha*masangan Wetan Sidoarjoperbatasan Surabaya Sidoarjo","Sidoarjo, Sidoarjo","2","1","78 m²","36 m²"
"Rp 900 Juta","Rumah 2 Lantai Ex Indekos Harga Bu Di Brigjen Katamso Sidorajo","Waru, Sidoarjo","6","2","224 m²","345 m²"
"Rp 700 Juta","Rumah Murah Puri Surya Jaya Gedangan Nego Sampai Deal Sidoarjo","Gedangan, Sidoarjo","2","1","105 m²","56 m²"
"Rp 1,4 Miliar","Rumah Murah Private Pool Buduran Juanda Sidoarjo","Buduran, Sidoarjo","3","2","102 m²","85 m²"
"Rp 500 Juta","Rumah Siap Huni Utj 1juta Dp 0 Free Biaya Sidoarjo","Sidoarjo, Sidoarjo","2","1","90 m²","40 m²"
"Rp 500 Juta","Jual Rumah Hitung Tanah Pondok Tjandra Jalan Duku","Pondok Tjandra, Sidoarjo","2","1","84 m²","60 m²"
"Rp 1,9 Miliar","Rumah Di Wisma Bungurasih Selatan Surabaya","Waru, Sidoarjo","7","3","200 m²","330 m²"
"Rp 1,01 Miliar","Rumah Murah Siap Ditempati Dekat Kahuripan Dan Exit Tol Sidoarjo","Sidoarjo, Sidoarjo","3","2","90 m²","70 m²"
"Rp 978 Juta","Rumah Murah Oper Kredit 70juta Shm One Gate Bebas Banjir","Sidoarjo, Sidoarjo","3","2","90 m²","69 m²"
"Rp 800 Juta","Rumah Hook di Aloha , Gedangan Sidoarjo","Gedangan, Sidoarjo","4","1","86 m²","172 m²"
"Rp 802 Juta","0506.4 Lelang Aset Sidoarjo Di Taman Di Citra Harmoni Riverside","Sidoarjo, Sidoarjo","2","1","120 m²","120 m²"
"Rp 1 Miliar","0520.23 Aset Lelang Sidoarjo Di Sidoarjo Di Ruko Yos Sudarso","Sidoarjo, Sidoarjo","2","1","92 m²","120 m²"
"Rp 394 Juta","0522.26 Aset Lelang Sidoarjo Di Taman Di Taman Pondok Jati","Sidoarjo, Sidoarjo","2","1","98 m²","120 m²"
"Rp 2,15 Miliar","Dijual Rumah 2 Lantai Siap Huni**lokasi Perum Grand Aloha Regency Taman Sidoarjo*full Furnish","Taman, Sidoarjo","4","2","91 m²","165 m²"
"Rp 625 Juta","Rumah Murah Shm Baru Hadap Selatan  Di Raya Prasung Sidoarjo","Buduran, Sidoarjo","2","2","72 m²","54 m²"
"Rp 655 Juta","Rumah Murah Dekat Kahuripan Nirwana Dan Exit Tol Sidoarjo","Sidoarjo, Sidoarjo","2","1","72 m²","44 m²"
"Rp 753 Juta","Rumah Nyaman Lokasi Strategis di Jalan Raya Juanda Dengan Cicilan 4 Juta an","Sukodono, Sidoarjo","2","2","67 m²","60 m²"
"Rp 575 Juta","Rumah 1 Lantai Shm Murah Strategis Area Sedati Dekat Bandara Juanda Sidoarjo","Sedati, Sidoarjo","3","1","90 m²","90 m²"
"Rp 757 Juta","Rumah Waru Dekat Gerbang Tol Tambaksumur Ji","Waru, Sidoarjo","2","1","91 m²","39 m²"
"Rp 650 Juta","Dijual Rumah Nego Sampai Deal Lokasi Sukolegok Sukodono","Sukodono, Sidoarjo","2","1","162 m²","50 m²"
