price,name,location,bedroom,bathroom,land_area,building_area
"Rp 1,65 Miliar","RUMAH 2 LT DI MEDAYU UTARA SURABAYA DEKAT RUNGKUT, PANDUGO, MERR, KAMPUS UPN, TOL WARU JUANDA","Medokan Ayu, Surabaya",4,2,160 m²,300 m²
"Rp 1,65 Miliar","RUMAH 2 LT DI MEDAYU UTARA SURABAYA DEKAT RUNGKUT, PANDUGO, MERR, KAMPUS UPN, TOL WARU JUANDA","Medokan Ayu, Surabaya",4,2,160 m²,300 m²
Rp 500 Juta,Jual Rumah 2 Lantai Perum Sidokare Asri Sidoarjo Kota,"Sidoarjo, Sidoarjo",3,2,70 m²,140 m²
"Rp 1,9 Miliar","Rumah 2Lantai Gembong Sawah Barat, Terawat, Dekat Pasar Kapasan","Simokerto, Surabaya",3,2,170 m²,255 m²
Rp 570 Juta,Jual Rumah Siap Huni Lokasi Bukit Kismadani Sidoarjo Kota,"Sidoarjo, Sidoarjo",2,1,102 m²,78 m²
"Rp 1,55 Miliar",Jual Rumah Siap Huni Lokasi Jambangan Surabaya,"Jambangan, Surabaya",3,2,90 m²,180 m²
Rp 975 Juta,"RUMAH BARU DI ISTANA MENTARI, SIDOARJO","Sidoarjo, Sidoarjo",2,2,126 m²,69 m²
Rp 925 Juta,Citraland Bukit Palma Murah Dan Sangat Terawat Sudah Galvalum,"Citraland, Surabaya",2,1,105 m²,70 m²
"Rp 1,85 Miliar",Rumah Minimalis 3 Kamar Tidur SHM di Rungkut Asri Utara Surabaya,"Rungkut, Surabaya",3,2,180 m²,220 m²
"Rp 1,1 Miliar",Rumah murah hitung tanah di Rungkut Surabaya,"Rungkut, Surabaya",3,1,135 m²,120 m²
"Rp 1,85 Miliar",Dijual cepat rumah di Greenland Residence Cluster Armaya‼️,"Menganti, Surabaya",4,2,144 m²,140 m²
Rp 800 Juta,Jual Rumah Medokan Medayu Rungkut Surabaya Rumah Baru 1 Lantai,"Rungkut, Surabaya",3,1,75 m²,45 m²
"Rp 1,15 Miliar","Rumah Siap Huni Di Purimas Surabaya Dekat Upn, Merr, Uinsa","Gununganyar, Surabaya",2,1,81 m²,60 m²
