iter	RMSE
0	0.4670473089
1	0.4524643072
2	0.438678366
3	0.4261123481
4	0.4148848263
5	0.404190384
6	0.394466906
7	0.3852634284
8	0.3773027283
9	0.3703726903
10	0.3638413079
11	0.3576892252
12	0.3517821407
13	0.3464010617
14	0.3414638864
15	0.3369376086
16	0.3330609059
17	0.3296772583
18	0.3265589684
19	0.3235271628
20	0.320761709
21	0.3181449067
22	0.3159447325
23	0.3137935073
24	0.3117225969
25	0.3100888517
26	0.3084304277
27	0.3069710867
28	0.3056205064
29	0.3044493044
30	0.3032359951
31	0.3020873587
32	0.3009973908
33	0.3000164398
34	0.2992076774
35	0.2984427614
36	0.2977642227
37	0.2970200294
38	0.2964303845
39	0.2959714676
40	0.2953451242
41	0.2948252701
42	0.294405018
43	0.2939254607
44	0.2933268786
45	0.2927027428
46	0.2923429477
47	0.2919986949
48	0.2916727295
49	0.2913568311
50	0.291056139
51	0.290763701
52	0.2904895647
53	0.2902115383
54	0.2899637891
55	0.2897259329
56	0.2894032585
57	0.2892208902
58	0.2890127813
59	0.2887730397
60	0.2885873839
61	0.2884188579
62	0.2882401584
63	0.288081944
64	0.2878121334
65	0.2876078758
66	0.2874834534
67	0.2874339162
68	0.2873072276
69	0.2871362862
70	0.2869628552
71	0.2867489884
72	0.2866201077
73	0.2864769081
74	0.2863100262
75	0.2861766313
76	0.2860587297
77	0.2860197639
78	0.2858123586
79	0.2855705861
80	0.2854574245
81	0.2853571954
82	0.2852483397
83	0.2850181848
84	0.2850096124
85	0.2849416399
86	0.2847548496
87	0.2847351882
88	0.2846282375
89	0.2845881494
90	0.2844317883
91	0.2842377588
92	0.2841820947
93	0.2841045191
94	0.2840894102
95	0.2840433844
96	0.2839385704
97	0.283840635
98	0.2837444118
99	0.2837278036
100	0.2836691141
101	0.2836401228
102	0.2834982684
103	0.2834356779
104	0.2832643236
105	0.283210033
106	0.2831729982
107	0.2830846649
108	0.2830197831
109	0.2828846855
110	0.2827678534
111	0.2827592221
112	0.2825763967
113	0.2825311668
114	0.2824552224
115	0.2823611186
116	0.282207427
117	0.2821688295
118	0.2820844911
119	0.2819751529
120	0.2819205086
121	0.2818570187
122	0.2817909658
123	0.2816986771
124	0.2816217751
125	0.2814962452
126	0.2814250806
127	0.2813832436
128	0.2813396298
129	0.281274767
130	0.2811859527
131	0.2811249269
132	0.2810547196
133	0.2810198264
134	0.2809428144
135	0.2808966978
136	0.2808467641
137	0.2807285017
138	0.2806493451
139	0.280604598
140	0.2805280146
141	0.2804511779
142	0.2803589882
143	0.2803284776
144	0.2802928156
145	0.2802296857
146	0.2801758653
147	0.2801272195
148	0.2800883469
149	0.280032724
150	0.2799585078
151	0.2798532323
152	0.2798074607
153	0.2797459007
154	0.2797183529
155	0.2796224358
156	0.2795476967
157	0.2794423758
158	0.279377673
159	0.2792822643
160	0.2792150994
161	0.2791434515
162	0.2790937077
163	0.2789517206
164	0.2788667806
165	0.2787321968
166	0.278636407
167	0.2785598773
168	0.2785161261
169	0.2784407026
170	0.2783524698
171	0.2782773329
172	0.2782122627
173	0.2781072108
174	0.2780158743
175	0.2779601164
176	0.277880264
177	0.2778294588
178	0.2777630478
179	0.2776942143
180	0.2776007799
181	0.2775505853
182	0.2775024583
183	0.2774428746
184	0.2773403545
185	0.2773011028
186	0.277205803
187	0.2771340213
188	0.2770371828
189	0.2769500741
190	0.2768533689
191	0.2767805267
192	0.2767494966
193	0.276707294
194	0.2766072715
195	0.2765513303
196	0.2764897853
197	0.2764101513
198	0.2763345033
199	0.2762512797
200	0.2761951125
201	0.2761273135
202	0.2760633266
203	0.2759675213
204	0.2758969734
205	0.2758583605
206	0.2758149341
207	0.2757603748
208	0.2756699962
209	0.2756254761
210	0.2755809868
211	0.2755342002
212	0.2754443105
213	0.2753749911
214	0.2753416231
215	0.2752898693
216	0.2752245581
217	0.2751541773
218	0.2750925511
219	0.2750400937
220	0.2750101378
221	0.274966558
222	0.2749057856
223	0.2748396851
224	0.2748014035
225	0.2747345257
226	0.2746743024
227	0.2746040836
228	0.2745563155
229	0.2744987849
230	0.2744484783
231	0.2743893084
232	0.2743539095
233	0.2743104988
234	0.2742572003
235	0.2742197448
236	0.274176131
237	0.2741370164
238	0.2741112786
239	0.2740562535
240	0.2740247199
241	0.273937402
242	0.273873631
243	0.2738032919
244	0.2737771976
245	0.2737242753
246	0.2736721263
247	0.2736269038
248	0.2735795618
249	0.2735498512
250	0.2735234477
251	0.2734550866
252	0.273413725
253	0.2733544943
254	0.2732793834
255	0.2731976283
256	0.2731456334
257	0.2731157166
258	0.2730277233
259	0.2729396884
260	0.2728903857
261	0.2728174629
262	0.2727925336
263	0.2727494996
264	0.2727056428
265	0.2726465354
266	0.2725833074
267	0.2725246005
268	0.2724646559
269	0.2724059267
270	0.2723467408
271	0.2723077287
272	0.2722531997
273	0.2722153899
274	0.2721675916
275	0.2721609172
276	0.2721131792
277	0.272053436
278	0.2720158123
279	0.2719726387
280	0.2719120493
281	0.2718708705
282	0.2718122463
283	0.2717605135
284	0.2717144179
285	0.2716707256
286	0.2716604235
287	0.2716154505
288	0.2715786635
289	0.2715348249
290	0.2714958407
291	0.2714372352
292	0.2714091545
293	0.2713557307
294	0.2713182454
295	0.2712469625
296	0.2711839659
297	0.2711270135
298	0.2710771748
299	0.2710436102
300	0.2709836605
301	302	0.2629911302	303	0.2629526303	304	0.2629111304	305	0.2628626305	306	0.2628453306307	0.2628364307	308	0.2628222308	309	0.2627942841
310	0.2627620459
311	0.2627536794
312	0.2627059245
313	0.2626953483
314	0.2626851234
315	0.2626349544
316	0.2626192646
317	0.2625866719
318	0.2625183958
319	0.2624654375
320	0.2624235131
321	0.2624098737
322	0.2623536321
323	0.2623136723
324	0.2622702534
325	0.2622349472
326	0.2621987678
327	0.2621415322
328	0.2621333192
329	0.2621051199
330	0.2620943168
331	0.262034062
332	0.2620074154
333	0.2619635974
334	0.26192114334335	0.26188643335336	0.261837864
337	0.2617588316
338	0.2617333787
339	0.2617019928
340	0.2616456723
341	0.2616039899
342	0.2615618008
343	0.261510151
344	0.2614636503
345	0.2614234686
346	0.2613511049
347	0.26130679
348	0.2612637553
349	0.2612311933
350	0.2612236054
351	0.2611677067
352	0.2611589117
353	0.2611043261
354	0.261070686
355	0.261031563
356	0.2610248185
357	0.2609836288
358	0.2609331873
359	0.2608802552
360	0.2608297425
361	0.260773193
362	0.2607327143
363	0.2606986642
364	0.2606619148
365	0.2606538764
366	0.2606353881
367	0.2606003966
368	0.2605940956
369	0.2605855913
370	0.2605661734
371	0.2605580724
372	0.2605120138
373	0.260469024
374	0.2604336983
375	0.2604074759
376	0.2603565345
377	0.26031355
378	0.2602747169
379	0.2602325514
380	0.2601985644
381	0.2601516886
382	0.2601357583
383	0.2601310649
384	0.2600805973
385	0.2600501609
386	0.260036556
387	0.2600022778
388	0.2599561642
389	0.2599481919
390	0.2598925377
391	0.2598499131
392	0.2598044418
393	0.2597975564
394	0.2597672471
395	0.2597482563
396	0.2596900013
397	0.2596420921
398	0.2595880233
399	0.2595496641
400	0.2595061052
401	0.259500779
402	0.2594774179
403	0.2594670275
404	0.2594334543
405	0.2594234981
406	0.2593991158
407	0.2593665871
408	0.2593241529
409	0.2592850172
410	0.2592426157
411	0.25922968
412	0.2592096073
413	0.259182458
414	0.2591425791
415	0.2591090368
416	0.2590977785
417	0.2590918202
418	0.2590557205
419	0.2590164968
420	0.2589830844
421	0.2589498946
422	0.2589060353
423	0.2588904141
424	0.2588455767
425	0.2587963869
426	0.2587604524
427	0.258727471
428	0.2587164111
429	0.2586845131
430	0.2586706736
431	0.2586483996
432	0.2586081575
433	0.2585669761
434	0.2585418168
435	0.2585207383
436	0.2584974673
437	0.2584595833
438	0.258430688
439	0.2583904091
440	0.2583640437
441	0.2583193128
442	0.2582856941
443	0.25824933
444	0.2582291466
445	0.2582167625
446	0.2582002505
447	0.2581410601
448	0.2580980004
449	0.2580314866
450	0.2580093223
451	0.2579644458
452	0.2579243588
453	0.2578754393
454	0.2578716362
455	0.2578244325
456	0.2577816986
457	0.2577403563
458	0.2577046742
459	0.2576906702
460	0.2576617478
461	0.2576436908
462	0.2576322131
463	0.2576028816
464	0.2575763245
465	0.2575504947
466	0.2575099408
467	0.2574708562
468	0.2574528177
469	0.2574145412
470	0.2573546766
471	0.2573341289
472	0.2573119897
473	0.2572950104
474	0.2572902295
475	0.2572472306
476	0.2572412942
477	0.2571980571
478	0.2571568963
479	0.2571217649
480	0.2570898168
481	0.2570853464
482	0.2570675276
483	0.2570309739
484	0.2569941529
485	0.2569492615
486	0.2569263842
487	0.256912404
488	0.2568689768
489	0.2568409496
490	0.2567951814
491	0.2567513537
492	0.25671122
493	0.2566890629
494	0.2566619307
495	0.2566537311
496	0.2566176474
497	0.2565832545
498	0.2565790692
499	0.2565468201
500	0.2565393204
501	0.2565190909
502	0.2564874152
503	0.2564129669
504	0.256399424
505	0.2563664881
506	0.2563491801
507	0.2563231149
508	0.2562688409
509	0.2562380682
510	0.2562225579
511	0.2562003728
512	0.256185509
513	0.2561591736
514	0.2561310112
515	0.2561198165
516	0.2560946105
517	0.2560676613
518	0.2560596271
519	0.2560381197
520	0.2560071836
521	0.2559784885
522	0.2559602371
523	0.2559348926
524	0.2559180215
525	0.2558939781
526	0.2558676445
527	0.2558433842
528	0.2558369676
529	0.2558057322
530	0.2557733348
531	0.2557546065
532	0.2557313209
533	0.255700898
534	0.2556809554
535	0.2556402152
536	0.2556129453
537	0.2555379731
538	0.2555066562
539	0.255474549
540	0.255455713
541	0.2554515302
542	0.2554461086
543	0.2554258764
544	0.2553940402
545	0.2553663706
546	0.2553469999
547	0.255305099
548	0.2552746368
549	0.2552513605
550	0.2552455832
551	0.2552417736
552	0.2552402589
553	0.2552137758
554	0.2552026301
555	0.2551974156
556	0.2551576546
557	0.2551456991
558	0.2551258343
559	0.2551149457
560	0.2550488867
561	0.2550425306
562	0.2549909912
563	0.2549551894
564	0.2549095469
565	0.2548816757
566	0.2548689098
567	0.2548321265
568	0.2548261902
569	0.2547976137
570	0.2547709339
571	0.2547380792
572	0.2547008071
573	0.2546926369
574	0.2546741927
575	0.2546667917
576	0.2546425075
577	0.2546275529
578	0.2546044427
579	0.254575886
580	0.2545348517
581	0.254511026
582	0.2544845884
583	0.2544677313
584	0.2544448972
585	0.2544093389
586	0.254392979
587	0.2543611145
588	0.2543295457
589	0.2543051006
590	0.2542924149
591	0.2542764505
592	0.2542318726
593	0.2541604546
594	0.2541305807
595	0.2541012639
596	0.254080156
597	0.2540643924
598	0.254051378
599	0.2540309308
600	0.2540222913
601	0.254005784
602	0.2540010215
603	0.2539898951
604	0.253986656
605	0.2539791519
606	0.2539351549
607	0.2539228151
608	0.2538920663
609	0.2538727424
610	0.2538302074
611	0.2538119485
612	0.2538008447
613	0.2537683143
614	0.2537634327
615	0.2537186391
616	0.2536946589
617	0.2536638318
618	0.2536587611
619	0.2536293489
620	0.2536102206
621	0.2535869515
622	0.2535549615
623	0.2535341316
624	0.2534914458
625	0.2534724636
626	0.2534508577
627	0.2534015037
628	0.2533823212
629	0.2533647795
630	0.2533333435
631	0.2533260469
632	0.253300793
633	0.2532717928
634	0.2532621461
635	0.2532351505
636	0.2532234329
637	0.2532104045
638	0.2531869297
639	0.2531495257
640	0.2531343334
641	0.2531201395
642	0.2530935924
643	0.2530693551
644	0.253055932
645	0.2530529766
646	0.2530396451
647	0.2529994927
648	0.2529683562
649	0.2529437878
650	0.2529211943
651	0.2528950812
652	0.2528575732
653	0.2528497462
654	0.2528152804
655	0.2528089976
656	0.2527724524
657	0.2527537858
658	0.2527459496
659	0.252726391
660	0.2526949047
661	0.2526585931
662	0.2525993739
663	0.2525823142
664	0.2525529556
665	0.2525279955
666	0.2525108249
667	0.2524762126
668	0.2524567575
669	0.252455813
670	0.252424776
671	0.2523799465
672	0.2523770523
673	0.2523692464
674	0.2523529792
675	0.2523260512
676	0.2523052222
677	0.2522889777
678	0.252277477
679	0.2522551054
680	0.2522382581
681	0.2522269361
682	0.2522157623
683	0.2521719007
684	0.2521362442
685	0.2521243386
686	0.2521182422
687	0.2521058786
688	0.252103087
689	0.2520812143
690	0.2520760887
691	0.2520402609
692	0.2520277013
693	0.2520018401
694	0.2519951069
695	0.2519662619
696	0.2519374793
697	0.251919891
698	0.2518978628
699	0.2518646748
700	0.2518551486
701	0.2518461008
702	0.2518227312
703	0.2518006695
704	0.2517747232
705	0.2517310729
706	0.2516912025
707	0.2516545625
708	0.2516248329
709	0.2515998011
710	0.2515881064
711	0.2515700161
712	0.25154499
713	0.251518736
714	0.2515040275
715	0.2514812103
716	0.2514550043
717	0.2514259798
718	0.2513945339
719	0.2513725685
720	0.2513351062
721	0.2513160745
722	0.2512911871
723	0.2512551715
724	0.2512404683
725	0.2512192641
726	0.2512001962
727	0.2511770214
728	0.2511561321
729	0.2511382476
730	0.251105512
731	0.2510769341
732	0.251039463
733	0.2510232976
734	0.2509977886
735	0.2509875724
736	0.2509826735
737	0.2509669061
738	0.2509547972
739	0.2509360297
740	0.2509078589
741	0.2508990816
742	0.2508871749
743	0.2508536984
744	0.2508399043
745	0.2508120081
746	0.2507895304
747	0.2507630728
748	0.2506972032
749	0.2506742253
750	0.2506576489
751	0.2506166041
752	0.2505949715
753	0.2505912583
754	0.2505654747
755	0.2505528362
756	0.2505416315
757	0.2505179397
758	0.2504945941
759	0.2504669488
760	0.2504509258
761	0.2504336648
762	0.2504177893
763	0.250383314
764	0.2503609756
765	0.2503372679
766	0.2503229912
767	0.2503060025
768	0.2502692454
769	0.2502437546
770	0.2502346759
771	0.2502231829
772	0.250196405
773	0.2501770634
774	0.2501687143
775	0.2501492488
776	0.2501181371
777	0.2501008635
778	0.2500741405
779	0.2500407234
780	0.2500097402
781	0.2500079088
782	0.2499746856
783	0.2499499207
784	0.2499166256
785	0.2499090098
786	0.2498961755
787	0.2498713363
788	0.2498407381
789	0.2498161244
790	0.249785842
791	0.2497641397
792	0.2497428987
793	0.2497377665
794	0.2497220042
795	0.2496897737
796	0.2496878597
797	0.2496762953
798	0.249668244
799	0.2496601394
800	0.2496433388
801	0.2496143538
802	0.2496047567
803	0.2495933528
804	0.2495722352
805	0.2495585443
806	0.2495419611
807	0.2495301297
808	0.2495292019
809	0.2495121964
810	0.2494995385
811	0.2494583556
812	0.2494349832
813	0.2494244537
814	0.2494088155
815	0.2493804737
816	0.249358303
817	0.2493469054
818	0.2493387809
819	0.2493258544
820	0.2493072144
821	0.249298254
822	0.2492881017
823	0.2492743371
824	0.2492540404
825	0.2492388715
826	0.2492105926
827	0.249183399
828	0.2491393708
829	0.2491138228
830	0.2491092738
831	0.2490857648
832	0.2490713177
833	0.2490488586
834	0.2490315129
835	0.2490287828
836	0.2490257413
837	0.2490006333
838	0.2489916016
